일자,기온(°C),기온(°F),습도(%),열지수
19840713,23.1,73.5,92.1,23.07
19840714,25.1,77.1,80.3,25.08
19840715,25.8,78.4,78,25.8
19840716,24.4,75.9,78.8,24.4
19840717,24.3,75.8,76,24.34
19840718,25.7,78.2,78.5,25.67
19840719,26.2,79.2,79,26.24
19840720,26.1,79,80.4,26.11
19840721,26.9,80.4,77.8,29.28
19840722,23,73.3,79.4,22.95
19840723,24.7,76.5,84,24.73
19840724,25.8,78.4,76.3,25.76
19840725,25.6,78.1,76.9,25.59
19840726,26.4,79.6,75.3,26.44
19840727,28.6,83.6,73.5,32.56
19840728,28.1,82.5,81.4,32.47
19840729,27.2,80.9,80,30.17
19840730,29.1,84.3,67.3,32.4
19840731,29,84.3,63.8,31.69
19840801,27,80.7,82.6,30.07
19840802,25.7,78.3,88.6,25.71
19840803,26.9,80.5,83.1,29.91
19840804,27.5,81.5,78.4,30.65
19840805,27.4,81.4,78.9,30.62
19840806,27,80.7,76.6,29.53
19840807,26.8,80.3,76.1,29.06
19840808,27.4,81.4,74.5,30.09
19840809,28.6,83.5,76.3,32.95
19840810,29.5,85.2,73.3,34.64
